date,amazon
2016-12-26,70.57142857142857
2016-12-27,69.14285714285714
2016-12-28,67.71428571428571
2016-12-29,66.28571428571429
2016-12-30,64.85714285714286
2016-12-31,63.42857142857143
2017-01-01,62.0
2017-01-02,61.857142857142854
2017-01-03,61.714285714285715
2017-01-04,61.57142857142857
2017-01-05,61.42857142857143
2017-01-06,61.285714285714285
2017-01-07,61.142857142857146
2017-01-08,61.0
2017-01-09,60.57142857142857
2017-01-10,60.142857142857146
2017-01-11,59.714285714285715
2017-01-12,59.285714285714285
2017-01-13,58.857142857142854
2017-01-14,58.42857142857143
2017-01-15,58.0
2017-01-16,57.42857142857143
2017-01-17,56.857142857142854
2017-01-18,56.285714285714285
2017-01-19,55.714285714285715
2017-01-20,55.142857142857146
2017-01-21,54.57142857142857
2017-01-22,54.0
2017-01-23,54.142857142857146
2017-01-24,54.285714285714285
2017-01-25,54.42857142857143
2017-01-26,54.57142857142857
2017-01-27,54.714285714285715
2017-01-28,54.857142857142854
2017-01-29,55.0
2017-01-30,54.42857142857143
2017-01-31,53.857142857142854
2017-02-01,53.285714285714285
2017-02-02,52.714285714285715
2017-02-03,52.142857142857146
2017-02-04,51.57142857142857
2017-02-05,51.0
2017-02-06,50.857142857142854
2017-02-07,50.714285714285715
2017-02-08,50.57142857142857
2017-02-09,50.42857142857143
2017-02-10,50.285714285714285
2017-02-11,50.142857142857146
2017-02-12,50.0
2017-02-13,50.57142857142857
2017-02-14,51.142857142857146
2017-02-15,51.714285714285715
2017-02-16,52.285714285714285
2017-02-17,52.857142857142854
2017-02-18,53.42857142857143
2017-02-19,54.0
2017-02-20,54.0
2017-02-21,54.0
2017-02-22,54.0
2017-02-23,54.0
2017-02-24,54.0
2017-02-25,54.0
2017-02-26,54.0
2017-02-27,53.857142857142854
2017-02-28,53.714285714285715
2017-03-01,53.57142857142857
2017-03-02,53.42857142857143
2017-03-03,53.285714285714285
2017-03-04,53.142857142857146
2017-03-05,53.0
2017-03-06,53.0
2017-03-07,53.0
2017-03-08,53.0
2017-03-09,53.0
2017-03-10,53.0
2017-03-11,53.0
2017-03-12,53.0
2017-03-13,53.0
2017-03-14,53.0
2017-03-15,53.0
2017-03-16,53.0
2017-03-17,53.0
2017-03-18,53.0
2017-03-19,53.0
2017-03-20,53.142857142857146
2017-03-21,53.285714285714285
2017-03-22,53.42857142857143
2017-03-23,53.57142857142857
2017-03-24,53.714285714285715
2017-03-25,53.857142857142854
2017-03-26,54.0
2017-03-27,54.0
2017-03-28,54.0
2017-03-29,54.0
2017-03-30,54.0
2017-03-31,54.0
2017-04-01,54.0
2017-04-02,54.0
2017-04-03,53.714285714285715
2017-04-04,53.42857142857143
2017-04-05,53.142857142857146
2017-04-06,52.857142857142854
2017-04-07,52.57142857142857
2017-04-08,52.285714285714285
2017-04-09,52.0
2017-04-10,52.0
2017-04-11,52.0
2017-04-12,52.0
2017-04-13,52.0
2017-04-14,52.0
2017-04-15,52.0
2017-04-16,52.0
2017-04-17,52.57142857142857
2017-04-18,53.142857142857146
2017-04-19,53.714285714285715
2017-04-20,54.285714285714285
2017-04-21,54.857142857142854
2017-04-22,55.42857142857143
2017-04-23,56.0
2017-04-24,56.285714285714285
2017-04-25,56.57142857142857
2017-04-26,56.857142857142854
2017-04-27,57.142857142857146
2017-04-28,57.42857142857143
2017-04-29,57.714285714285715
2017-04-30,58.0
2017-05-01,58.0
2017-05-02,58.0
2017-05-03,58.0
2017-05-04,58.0
2017-05-05,58.0
2017-05-06,58.0
2017-05-07,58.0
2017-05-08,57.57142857142857
2017-05-09,57.142857142857146
2017-05-10,56.714285714285715
2017-05-11,56.285714285714285
2017-05-12,55.857142857142854
2017-05-13,55.42857142857143
2017-05-14,55.0
2017-05-15,55.0
2017-05-16,55.0
2017-05-17,55.0
2017-05-18,55.0
2017-05-19,55.0
2017-05-20,55.0
2017-05-21,55.0
2017-05-22,55.285714285714285
2017-05-23,55.57142857142857
2017-05-24,55.857142857142854
2017-05-25,56.142857142857146
2017-05-26,56.42857142857143
2017-05-27,56.714285714285715
2017-05-28,57.0
2017-05-29,57.0
2017-05-30,57.0
2017-05-31,57.0
2017-06-01,57.0
2017-06-02,57.0
2017-06-03,57.0
2017-06-04,57.0
2017-06-05,57.285714285714285
2017-06-06,57.57142857142857
2017-06-07,57.857142857142854
2017-06-08,58.142857142857146
2017-06-09,58.42857142857143
2017-06-10,58.714285714285715
2017-06-11,59.0
2017-06-12,59.0
2017-06-13,59.0
2017-06-14,59.0
2017-06-15,59.0
2017-06-16,59.0
2017-06-17,59.0
2017-06-18,59.0
2017-06-19,59.142857142857146
2017-06-20,59.285714285714285
2017-06-21,59.42857142857143
2017-06-22,59.57142857142857
2017-06-23,59.714285714285715
2017-06-24,59.857142857142854
2017-06-25,60.0
2017-06-26,60.0
2017-06-27,60.0
2017-06-28,60.0
2017-06-29,60.0
2017-06-30,60.0
2017-07-01,60.0
2017-07-02,60.0
2017-07-03,62.714285714285715
2017-07-04,65.42857142857143
2017-07-05,68.14285714285714
2017-07-06,70.85714285714286
2017-07-07,73.57142857142857
2017-07-08,76.28571428571428
2017-07-09,79.0
2017-07-10,76.42857142857143
2017-07-11,73.85714285714286
2017-07-12,71.28571428571428
2017-07-13,68.71428571428571
2017-07-14,66.14285714285714
2017-07-15,63.57142857142857
2017-07-16,61.0
2017-07-17,61.0
2017-07-18,61.0
2017-07-19,61.0
2017-07-20,61.0
2017-07-21,61.0
2017-07-22,61.0
2017-07-23,61.0
2017-07-24,61.57142857142857
2017-07-25,62.142857142857146
2017-07-26,62.714285714285715
2017-07-27,63.285714285714285
2017-07-28,63.857142857142854
2017-07-29,64.42857142857143
2017-07-30,65.0
2017-07-31,64.57142857142857
2017-08-01,64.14285714285714
2017-08-02,63.714285714285715
2017-08-03,63.285714285714285
2017-08-04,62.857142857142854
2017-08-05,62.42857142857143
2017-08-06,62.0
2017-08-07,62.285714285714285
2017-08-08,62.57142857142857
2017-08-09,62.857142857142854
2017-08-10,63.142857142857146
2017-08-11,63.42857142857143
2017-08-12,63.714285714285715
2017-08-13,64.0
2017-08-14,63.714285714285715
2017-08-15,63.42857142857143
2017-08-16,63.142857142857146
2017-08-17,62.857142857142854
2017-08-18,62.57142857142857
2017-08-19,62.285714285714285
2017-08-20,62.0
2017-08-21,62.0
2017-08-22,62.0
2017-08-23,62.0
2017-08-24,62.0
2017-08-25,62.0
2017-08-26,62.0
2017-08-27,62.0
2017-08-28,61.42857142857143
2017-08-29,60.857142857142854
2017-08-30,60.285714285714285
2017-08-31,59.714285714285715
2017-09-01,59.142857142857146
2017-09-02,58.57142857142857
2017-09-03,58.0
2017-09-04,58.0
2017-09-05,58.0
2017-09-06,58.0
2017-09-07,58.0
2017-09-08,58.0
2017-09-09,58.0
2017-09-10,58.0
2017-09-11,58.285714285714285
2017-09-12,58.57142857142857
2017-09-13,58.857142857142854
2017-09-14,59.142857142857146
2017-09-15,59.42857142857143
2017-09-16,59.714285714285715
2017-09-17,60.0
2017-09-18,60.0
2017-09-19,60.0
2017-09-20,60.0
2017-09-21,60.0
2017-09-22,60.0
2017-09-23,60.0
2017-09-24,60.0
2017-09-25,59.857142857142854
2017-09-26,59.714285714285715
2017-09-27,59.57142857142857
2017-09-28,59.42857142857143
2017-09-29,59.285714285714285
2017-09-30,59.142857142857146
2017-10-01,59.0
2017-10-02,59.285714285714285
2017-10-03,59.57142857142857
2017-10-04,59.857142857142854
2017-10-05,60.142857142857146
2017-10-06,60.42857142857143
2017-10-07,60.714285714285715
2017-10-08,61.0
2017-10-09,61.0
2017-10-10,61.0
2017-10-11,61.0
2017-10-12,61.0
2017-10-13,61.0
2017-10-14,61.0
2017-10-15,61.0
2017-10-16,61.57142857142857
2017-10-17,62.142857142857146
2017-10-18,62.714285714285715
2017-10-19,63.285714285714285
2017-10-20,63.857142857142854
2017-10-21,64.42857142857143
2017-10-22,65.0
2017-10-23,64.28571428571429
2017-10-24,63.57142857142857
2017-10-25,62.857142857142854
2017-10-26,62.142857142857146
2017-10-27,61.42857142857143
2017-10-28,60.714285714285715
2017-10-29,60.0
2017-10-30,60.57142857142857
2017-10-31,61.142857142857146
2017-11-01,61.714285714285715
2017-11-02,62.285714285714285
2017-11-03,62.857142857142854
2017-11-04,63.42857142857143
2017-11-05,64.0
2017-11-06,64.85714285714286
